question,option_a,option_b,option_c,option_d,option_e,correct_answers
CS. What is the blood group?,A complex of leukocyte's antigens,A complex of immunoglobulins,A complex of erythrocyte's antigens,A complex of platelet's antigens,Antigens of transplantation,C
"CS. During the determination of blood group with monoclonal antibodies (Tsoliclon-test), agglutination was obtained with Tsoliclon Anti-B and no agglutination was registered with Tsoliclon Anti-A. Indicate the correct blood group.",0(I),A(II),B(III),AB(IV),Error in blood group determination,C
CS. The most frequent way of blood transfusion is:,Intravenous way,Intraarterial way,Intraosseous way,Intraaortic way,Intracardiac way,A
CS. What temperature is required for RBC (red blood cells) concentrate preservation?,0°C,-2-4°C,+4+6°C,+8+10°C,0+1°C,C
CS. Select the correct method of blood transfusion for biological test?,"Bolus transfusion of 25 ml of blood, repeated twice with interval of 3-5 minutes","Bolus transfusion of 25 ml of blood, repeated thrice with interval of 3-5 minutes","Slow transfusion of blood during 15 minutes, followed by 3-5 minutes of expectation",Single bolus transfusion of 25 ml of blood,Biological test is performed only in case of plasma transfusion,B
CM. Method of blood autotransfusion is performed as follows:,Collecting of blood from patient is done several weeks before elected surgery,Several samplings of 400-500 mL of blood with an interval of one week are performed,Several samplings of 100-200 mL of blood with an interval of two days are performed,Last collecting is made no later than 12 hours prior to surgery,Last collecting is made no later than 72 hours prior to surgery,E
CM. Acute preoperative normovolemic haemodilution means the following measures:,Exfusion of 400-500 mL of patient's blood one week before surgery,Exfusion of 750-1000 mL of patient's blood immediately before surgery,Replacement of collected blood with the blood substitutes solutions,Replacement of collected blood with the donor plasma,The collected blood is transfused back to the patient during or after surgery,E
"CS. In a patient with traumatic rupture of the spleen and hemoperitoneum, the blood from abdominal cavity was collected using the “Cell Saver” device and transfused intravenously to the patient. How is called this method?",Managed haemodilution,Reinfusion,Rehydration,Plasmapheresis,Hemodialysis,B
CM. Blood reinfusion can be performed in case of:,Gastric ulcer bleeding,Traumatic rupture of the spleen,Ruptured ectopic gestation,Traumatic amputation of the lower limb,Blunt thoracic trauma with hemothorax,E
CS. Reinfusion of blood collected from the abdominal cavity is impossible in case of:,Injury of diaphragm,Injury of spleen,Injury of abdominal hollow organs,Injury of large blood vessels,Poor general status of patient,C
