question,option_a,option_b,option_c,option_d,option_e,correct_answers
1. CM. Which of the following statements about surgical anatomy of the colon and rectum are correct?,The cecum has the largest inner diameter of all segments of the colon (13 to 15 cm.).,The rectosigmoid junction is situated at approximately 15 to 18 cm. from the anus.,The rectum is entirely an intraperitoneal organ.,"The ileocolic, right colic, and middle colic arteries are branches from the inferior mesenteric artery.",The arterial arcade created by communicating vessels at 1 to 2 cm from the mesenteric is called the artery of Drummond.,"B,E"
2. CM. Which of the following statements about surgical procedures on the colon and rectum are correct?,Successful healing of colonic anastomoses depends on the adequacy of the blood supply.,"In excising part of the colon containing cancer, the lymphatics should be avoided by dividing the mesentery close to the wall of the colon.","Despite complete removal of the colon and rectum, transanal fecal flow can be preserved by means of an ileal pouch–anal anastomosis.",When a colostomy is created it cannot be reversed.,Colostomy can be life saving in patients with colonic perforation or obstruction.,"A,C,E"
3. CM. Which of the following statements about colon physiology are correct?,Colonic recycling of urea is accomplished by the splitting of urea by bacterial ureases.,Fermentation by colonic bacteria may rescue malabsorbed carbohydrates.,The preferred fuel of the colonic epithelium is glucose.,Absorption by the colonic mucosa is a passive process.,Insoluble fibers create bulk in the stool.,"A,B,E"
4. CM. Which of the following statements about diagnostic studies for the colon and rectum are true?,Acetylcholinesterase staining of rectal biopsies is unreliable for the diagnosis of Hirschsprung's disease.,Cinedefecography is useful for detecting “hidden” prolapse or rectal intussusception.,A negative osmotic gap in stool is indicative of secretory diarrhea.,A colonic transit time study involves serial abdominal x-rays after ingestion of radiopaque markers.,Carcinoembryonic antigen (CEA) is useful for monitoring patients after resection for colon cancer.,"B,C,D,E"
5. CM. Which of the following statements about the microbiology of the colon are true?,The colon contains no more bacteria than the stomach.,The predominant bacteria in the colon are aerobic.,Nearly one third of the dry weight of feces is bacteria.,"Common bacteria in the colon are Bacteroides, Bifidobacterium, and Enterobacterium species.",The colonic microflora is relatively stable.,"C,D,E"
6. CM. Which of the following statements about bowel preparation for colon surgery are true?,Bowel preparation is accomplished by a combination of mechanical cleansing and nonabsorbable antibiotics.,Three days of clear liquids provides sufficient mechanical cleansing.,Commercial electrolyte-polyethylene glycol solutions provide mechanical cleansing without inducing electrolyte imbalance.,Non-absorbable antibiotics such as neomycin and erythromycin base are administered the day before the operation in three doses.,Intravenous antibiotics are also administered the day before surgery.,"A,C,D"
7. CS. The test with the highest diagnostic yield for detecting a colovesical fistula is:,Barium enema.,Colonoscopy.,Computed tomography (CT).,Cystography.,Cystoscopy.,E
8. CS. Which of the following about diverticular disease is not true:,It is more common in the United States and Western Europe than in Asia and Africa.,A low-fiber diet may predispose to development of diverticulosis.,It involves sigmoid colon in more than 90% of patients.,Eighty percent of general people develop diverticulitis sometime during their lifetime.,It is the most common cause of massive lower gastrointestinal hemorrhage.,D
9. CS. The most common indication for surgery secondary to acute diverticulitis is:,Abscess.,Colonic obstruction.,Colovezical fistula.,Free perforation.,Hemorrhage.,A
11. CS. Which of the following statements about familial adenomatous polyposis (FAP) is true?,"Inherited in an autosomal-dominant manner, this genetic defect is of variable penetrance, some patients having only a few polyps whereas others develop thousands.",The phenotypic expression of the disease depends mostly on the genotype.,Appropriate surgical therapy includes total abdominal colectomy with ileorectal anastomosis and ileoanal pull-through with rectal mucosectomy.,Panproctocolectomy with ileostomy is not appropriate therapy for this disease.,Pharmacologic management of this disease may be appropriate in some instances.,C
